OBJECTID,市区町村コード,施設名,住所,避難施設の種類,収容人数,緯度,経度
294,28204,上甲子園センター,兵庫県西宮市甲子園口3丁目9-3,指定避難所,80,34.737902,135.373684
295,28204,瓦林公園センター,兵庫県西宮市上甲子園3丁目7-4,指定避難所,70,34.732411,135.365743
296,28204,用海小学校,兵庫県西宮市用海町3-54,指定避難所,1120,34.731883,135.343872
297,28204,今津小学校,兵庫県西宮市今津二葉町4-10,指定避難所,1150,34.727033,135.3535
298,28204,津門小学校,兵庫県西宮市津門呉羽町5-13,指定避難所,1090,34.732819,135.353894
299,28204,真砂中学校,兵庫県西宮市今津真砂町1-10,指定避難所,1090,34.719173,135.348642
300,28204,今津中学校,兵庫県西宮市今津二葉町5-15,指定避難所,1040,34.727608,135.35108
301,28204,今津公民館,兵庫県西宮市今津水波町9-28,指定避難所,140,34.728444,135.353391
302,28204,用海公民館,兵庫県西宮市石在町10-21,指定避難所,90,34.72808,135.342131
303,28204,今津体育館,兵庫県西宮市今津真砂町1-4,指定避難所,610,34.719776,135.349908
304,28204,勤労会館,兵庫県西宮市松原町2-37,指定避難所,940,34.736243,135.345064
305,28204,浜脇小学校,兵庫県西宮市浜脇町5-48,指定避難所,1630,34.732072,135.336373
306,28204,香櫨園小学校,兵庫県西宮市中浜町3-32,指定避難所,1260,34.731935,135.325718
307,28204,浜脇中学校,兵庫県西宮市宮前町3-5,指定避難所,1070,34.732338,135.334201
308,28204,教育文化センター,兵庫県西宮市川添町15-26,指定避難所,160,34.730897,135.329823
309,28204,夙東市民館,兵庫県西宮市川添町10-30,指定避難所,60,34.72885,135.330148
310,28204,浜脇公民館,兵庫県西宮市浜脇町5-14,指定避難所,160,34.731783,135.337031
311,28204,県立西宮香風高等学校,兵庫県西宮市建石町7-43,指定避難所,620,34.728775,135.332529
312,28204,瓦木小学校,兵庫県西宮市大屋町10-20,指定避難所,920,34.743921,135.365926
313,28204,深津小学校,兵庫県西宮市深津町5-22,指定避難所,880,34.740379,135.357218
314,28204,深津中学校,兵庫県西宮市深津町6-75,指定避難所,1120,34.739324,135.357799
315,28204,高木小学校,兵庫県西宮市高木西町25-27,指定避難所,1300,34.751409,135.360279
316,28204,樋ノ口小学校,兵庫県西宮市樋ノ口町2丁目3-32,指定避難所,1110,34.758189,135.367584
317,28204,甲武中学校,兵庫県西宮市樋ノ口町1丁目7-55,指定避難所,1360,34.76236,135.368861
318,28204,瓦木中学校,兵庫県西宮市薬師町4-15,指定避難所,1290,34.75357,135.365218
319,28204,高木公民館,兵庫県西宮市高木東町15-10,指定避難所,120,34.751495,135.363968
320,28204,高木センター,兵庫県西宮市伏原町1-58,指定避難所,80,34.752781,135.357746
321,28204,平木小学校,兵庫県西宮市平木町4-1,指定避難所,1030,34.745679,135.349513
322,28204,平木中学校,兵庫県西宮市平木町6-19,指定避難所,1100,34.746367,135.34928
323,28204,中央公民館,兵庫県西宮市高松町4-8,指定避難所,210,34.743932,135.357005
324,28204,若竹公民館,兵庫県西宮市西福町15-12,指定避難所,260,34.740665,135.350788
325,28204,中市民館,兵庫県西宮市中前田町8-11,指定避難所,50,34.743193,135.344089
326,28204,中央体育館分館,兵庫県西宮市神祇官町2-6,指定避難所,370,34.740349,135.351399
327,28204,大社小学校,兵庫県西宮市桜谷町9-7,指定避難所,1340,34.746328,135.336475
328,28204,安井小学校,兵庫県西宮市安井町1-25,指定避難所,880,34.740107,135.334281
329,28204,大社公民館,兵庫県西宮市柳本町1-37,指定避難所,150,34.747373,135.341267
330,28204,安井市民館,兵庫県西宮市安井町2-4,指定避難所,60,34.739546,135.333129
331,28204,中央体育館,兵庫県西宮市河原町1-16,指定避難所,890,34.747806,135.344805
332,28204,広田小学校,兵庫県西宮市愛宕山7-24,指定避難所,1100,34.754178,135.348452
333,28204,市立西宮高等学校,兵庫県西宮市高座町14-117,指定避難所,2130,34.755852,135.343272
334,28204,能登運動場,兵庫県西宮市能登町14-26,指定避難所,30,34.753858,135.351846
335,28204,甲東小学校,兵庫県西宮市神呪町3-33,指定避難所,1360,34.762221,135.357779
336,28204,甲東センター,兵庫県西宮市甲東園3丁目2-29,指定避難所,110,34.767232,135.359482
337,28204,段上小学校,兵庫県西宮市段上町7丁目5-21,指定避難所,950,34.769782,135.369792
338,28204,段上西小学校,兵庫県西宮市段上町2丁目8-24,指定避難所,960,34.769293,135.366509
339,28204,段上公民館,兵庫県西宮市段上町2丁目10-3,指定避難所,140,34.770009,135.366748
340,28204,段上センター,兵庫県西宮市段上町2丁目10-23,指定避難所,60,34.769921,135.36732
341,28204,甲武体育館,兵庫県西宮市上大市5丁目15-25,指定避難所,490,34.766021,135.370853
342,28204,夙川公民館,兵庫県西宮市羽衣町1-39,指定避難所,70,34.740137,135.327868
343,28204,夙川西市民館,兵庫県西宮市大谷町3-50,指定避難所,40,34.738101,135.321085
344,28204,県立鳴尾高等学校,兵庫県西宮市学文殿町2丁目1-60,指定避難所,490,34.726111,135.371015
345,28204,県立西宮今津高等学校,兵庫県西宮市浜甲子園4丁目1-5,指定避難所,660,34.718523,135.350072
346,28204,香櫨園市民館分館,兵庫県西宮市屋敷町12-1,指定避難所,20,34.735743,135.326004
347,28204,高木市民館,兵庫県西宮市高木東町34-8,指定避難所,20,34.751289,135.361237
348,28204,高木北小学校,兵庫県西宮市薬師町7-5,指定避難所,1430,34.755081,135.361454
349,28204,香櫨園市民センター,兵庫県西宮市川西町4-5,指定避難所,90,34.731324,135.328354
350,28206,ロイヤル芦屋松浜,兵庫県芦屋市松浜町8-18,一時避難施設,710,34.72217319,135.3080981
351,28206,芦屋サンプラザ,兵庫県芦屋市平田町5-8,一時避難施設,300,34.72160786,135.3040233
352,28206,芦屋パレスハイツ南館,兵庫県芦屋市平田町2-8,一時避難施設,350,34.7239536,135.3029702
353,28206,芦屋パレスハイツ北館,兵庫県芦屋市平田町2-7,一時避難施設,350,34.724455,135.302971
354,28206,海技大学校,兵庫県芦屋市西蔵町12-24,避難所、一時避難施設,500,34.724247,135.314983
355,28206,県立芦屋高等学校体育館,兵庫県芦屋市精道町1-1,避難所,600,34.728413,135.310345
356,28206,市立伊勢幼稚園遊戯室,兵庫県芦屋市伊勢町13-14,避難所,100,34.721553,135.309845
357,28206,市立宮川小学校,兵庫県芦屋市浜町1-9,一時避難施設、避難所,2260,34.729052,135.315122
358,28206,市立小槌幼稚園遊戯室,兵庫県芦屋市打出小槌町15-7,避難所,100,34.733441,135.314733
359,28206,市立新浜保育所,兵庫県芦屋市新浜町1-1,避難所,50,34.723914,135.32051
360,28206,市立精道小学校体育館,兵庫県芦屋市精道町8-25,避難所,350,34.727247,135.305789
361,28206,市立精道中学校,兵庫県芦屋市南宮町9-7,避難所、一時避難施設,2630,34.729636,135.320233
362,28206,市立西山幼稚園遊戯室,兵庫県芦屋市西山町22-15,避難所,100,34.73792771,135.298515
363,28206,市立打出浜小学校,兵庫県芦屋市新浜町8-2,一時避難施設、避難所,3020,34.725442,135.320899
364,28206,市立体育館・青少年センター,兵庫県芦屋市川西町15-3,避難所,400,34.727075,135.300935
365,28206,市立潮見小学校,兵庫県芦屋市潮見町1-2,一時避難施設、避難所,747,34.718859,135.312817
366,28206,春日集会所,兵庫県芦屋市春日町13-17,避難所,30,34.733269,135.319211
367,28206,前田集会所,兵庫県芦屋市前田町8-17,避難所,100,34.731524,135.298507
368,28206,竹園集会所,兵庫県芦屋市竹園町5-6,避難所,30,34.725972,135.310137
369,28206,茶屋集会所,兵庫県芦屋市茶屋之町8-20,避難所,30,34.730902,135.308437
370,28206,潮見集会所,兵庫県芦屋市潮見町7-1,避難所,60,34.718153,135.309359
371,28206,藤和ライブタウン芦屋呉川町ルミナンス,兵庫県芦屋市呉川町13-3,一時避難施設,360,34.724894,135.311864
372,28206,浜風集会所,兵庫県芦屋市浜風町3-2,避難所,30,34.723355,135.321144
373,28206,保健福祉センター,兵庫県芦屋市呉川町14-9,一時避難施設,1370,34.724375,135.311992
